ts,o,h,l,c,v
1790288820,0.00011740960861187684,0.00012704674998618908,0.00011703722439808922,0.0001232824043003648,2873.352715856593
1790288880,0.0001232824043003648,0.00012813066470591665,0.00011296139846962061,0.00011740016120474234,1827.9728351229378
1790288940,0.00011740016120474234,0.00011801607184785601,0.00010058373991205792,0.00010361443895257629,1789.2398813771094
1790289000,0.00010361443895257629,0.00010650700388968488,9.008358835473609e-05,9.100226361669135e-05,2175.8007843322584
1790289060,9.100226361669135e-05,9.101589684475629e-05,7.796849051613578e-05,8.572876377927637e-05,1718.662519855771
1790289120,8.572876377927637e-05,8.604407650828521e-05,8.036733128766581e-05,8.424356410872769e-05,828.91552312629
1790289180,8.424356410872769e-05,8.763159313786412e-05,8.336475015303857e-05,8.414937630941233e-05,1095.384821351713
1790289240,8.414937630941233e-05,8.986689047752554e-05,8.414937630941233e-05,8.986689047752554e-05,672.1355194915718
1790289300,8.986689047752554e-05,8.986689047752554e-05,8.397125117544318e-05,8.53393189927822e-05,900.7568156991255
1790289360,8.53393189927822e-05,8.64201823377404e-05,8.318422453999273e-05,8.499295079854783e-05,854.8021965161989
1790289420,8.499295079854783e-05,8.627684946175135e-05,8.138097566665398e-05,8.464660854590903e-05,949.3444785633706
1790289480,8.464660854590903e-05,8.855609128791509e-05,8.40199329077948e-05,8.735707820803362e-05,833.4714947556014
1790289540,8.735707820803362e-05,8.760808096208021e-05,8.252498575385198e-05,8.347639082023793e-05,756.751640692877
1790289600,8.347639082023793e-05,9.310368912868668e-05,8.347639082023793e-05,9.310368912868668e-05,788.0284837645896
1790289660,9.310368912868668e-05,9.484404074207848e-05,8.344868866108086e-05,9.06977769066809e-05,1763.0323228024436
1790289720,9.06977769066809e-05,9.726387450649433e-05,9.06977769066809e-05,9.435855866833714e-05,683.081820955596
1790289780,9.435855866833714e-05,9.843217177822516e-05,9.362898517176259e-05,9.812261650513756e-05,836.8999053275255
1790289840,9.812261650513756e-05,9.812261650513756e-05,8.759302452136915e-05,9.023845218366622e-05,1508.749261050107
1790289900,9.023845218366622e-05,9.867328242755259e-05,9.023845218366622e-05,9.867328242755259e-05,656.0611550714907
1790289960,9.867328242755259e-05,9.92913496716125e-05,9.564999520054653e-05,9.875531580268951e-05,1034.3220809061766
1790290020,9.875531580268951e-05,9.998181489985903e-05,8.427273387642272e-05,8.427273387642272e-05,1512.3247158622125
1790290080,8.427273387642272e-05,8.539534297212115e-05,8.249364589203164e-05,8.539534297212115e-05,872.6713976366226
1790290140,8.539534297212115e-05,8.632508963113461e-05,8.002787520214316e-05,8.629305766465835e-05,1034.5380731798082
1790290200,8.629305766465835e-05,8.954984815889317e-05,7.811796105717535e-05,8.646993249414202e-05,2861.736087487047
1790290260,8.646993249414202e-05,8.740765215365923e-05,8.390565814479083e-05,8.390565814479083e-05,786.9513914669993
1790290320,8.390565814479083e-05,8.858049596091278e-05,7.891841624324406e-05,8.030599060791944e-05,1644.622641987125
1790290380,8.030599060791944e-05,8.870931270284763e-05,8.030599060791944e-05,8.437275398278102e-05,3951.7800913712267
1790290440,8.437275398278102e-05,8.773972968734713e-05,8.430427165721856e-05,8.773972968734713e-05,626.9902554094223
1790290500,8.773972968734713e-05,8.773972968734713e-05,8.365662935938931e-05,8.770123160983543e-05,818.4984963592511
1790290560,8.770123160983543e-05,8.946065842619479e-05,8.561077038419546e-05,8.802444112495457e-05,787.5239434548809
1790290620,8.802444112495457e-05,8.802444112495457e-05,2.465385823973922e-06,2.465720601228881e-06,10983.65900800296
1790290680,2.465720601228881e-06,2.527900824909956e-06,2.465720601228881e-06,2.523994222989388e-06,29.025261390618414
1790290800,2.523994222989388e-06,2.523994222989388e-06,2.520066251167064e-06,2.521561608229035e-06,1.30868177654007
1790290920,2.521561608229035e-06,2.521561608229035e-06,2.492372673578206e-06,2.492372673578206e-06,28.739822173872852
1790291460,2.492372673578206e-06,2.492372673578206e-06,2.4646921306643855e-06,2.4646921306643855e-06,0.28146940192795955
1790291580,2.4646921306643855e-06,2.4974135693527926e-06,2.4596263152162835e-06,2.4974135693527926e-06,5.2911240682414356
1790294280,2.4974135693527926e-06,2.5323453916801415e-06,2.4974135693527926e-06,2.521412679067187e-06,10.346901243512564
1790299260,2.521412679067187e-06,2.521412679067187e-06,2.504573028401964e-06,2.504573028401964e-06,6.263376360339372
1790299620,2.504573028401964e-06,2.5343182755849905e-06,2.504573028401964e-06,2.5343182755849905e-06,2.6567378008376705
1790302680,2.5343182755849905e-06,2.5343182755849905e-06,2.5218490122395774e-06,2.5218490122395774e-06,0.08701683995005402
1790307360,2.5218490122395774e-06,2.5218490122395774e-06,2.487086145944713e-06,2.487086145944713e-06,1.764703518762175
1790307480,2.487086145944713e-06,2.5261926653082226e-06,2.487086145944713e-06,2.494172920093502e-06,11.476410421201717
1790309460,2.494172920093502e-06,2.494172920093502e-06,2.4869643676395832e-06,2.4869643676395832e-06,0.10096939001209218
1790312760,2.4869643676395832e-06,2.560119255716799e-06,2.4869643676395832e-06,2.560119255716799e-06,49.369094770890094
