ts,o,h,l,c,v
1790235420,0.00037719679989064596,0.0003812606872629728,0.0003693217639337418,0.0003779448848026122,1278.2790021159678
1790235480,0.0003779448848026122,0.0003779448848026122,0.00035773104891319437,0.0003749782365644319,1545.6462625146958
1790235540,0.0003749782365644319,0.000385165357766583,0.0003672697551840705,0.00038269197520383706,1028.6890949657602
1790235600,0.00038269197520383706,0.00039730238355002923,0.000373882635697086,0.0003788036975119167,1742.875653373775
1790235660,0.0003788036975119167,0.0003788036975119167,0.00035321823360727955,0.0003591975592004765,1771.8342286454244
1790235720,0.0003591975592004765,0.00037568190136265254,0.00035515654333608405,0.0003598139307683276,2930.2503504560004
1790235780,0.0003598139307683276,0.00036141594483301496,0.00034493400716568783,0.000348650278351109,1280.1878391590114
1790235840,0.000348650278351109,0.00035653758355339677,0.00033610071574794034,0.0003469769494263337,1506.4422507845986
1790235900,0.0003469769494263337,0.00036171071722173464,0.0003439920833201832,0.0003577608270759931,1140.1378884577193
1790235960,0.0003577608270759931,0.00036401831260262437,0.00034453046287860584,0.00034491528547468274,952.197972042535
1790236020,0.00034491528547468274,0.00037255833761307676,0.00034491528547468274,0.00034633761106146965,2184.0224918808376
1790236080,0.00034633761106146965,0.0003783503718218718,0.00034633761106146965,0.0003671791305378486,1541.2653242482654
1790236140,0.0003671791305378486,0.0003774918445045225,0.00036662961295105877,0.0003688389977045249,904.9197170701696
1790236200,0.0003688389977045249,0.0003688389977045249,0.00033846074035313525,0.00033846074035313525,1659.8066483520718
1790236260,0.00033846074035313525,0.00034555654285166744,0.00033359005479102917,0.00033631257124749664,1082.7147153341123
1790236320,0.00033631257124749664,0.00033631257124749664,0.00031603902305890055,0.0003242860459809753,2368.5842888608477
1790236380,0.0003242860459809753,0.00034248549071668036,0.00032251286682091534,0.00033802774996522325,1232.3508357600945
1790236440,0.00033802774996522325,0.0003523635253899633,0.00033802774996522325,0.00035092466279308985,605.3413968583704
1790236500,0.00035092466279308985,0.0003533211561500016,0.00032069486414841364,0.00032425915774359897,1977.381107960652
1790236560,0.00032425915774359897,0.0003330300384659242,0.0002855990635410771,0.0003093727843000272,6811.557992517601
1790236620,0.0003093727843000272,0.0003141932742811229,0.00026691280634299466,0.0002730432785111916,8748.741021974723
1790236680,0.0002730432785111916,0.00027912804337001365,0.00025698770944011936,0.0002626763913467948,8825.820889243478
1790236740,0.0002626763913467948,0.00027868093604469435,0.0002626763913467948,0.00027863155893177174,3132.8633231551344
1790236800,0.00027863155893177174,0.00029228050631501104,0.00026906931186015975,0.0002866622130802011,3463.597748246884
1790236860,0.0002866622130802011,0.00028666510336949734,0.0002704536731995664,0.0002768019243788611,2707.4426586764357
1790236920,0.0002768019243788611,0.0002820654840061349,0.0002587703008263236,0.0002623934513054853,2459.0624996562256
1790236980,0.0002623934513054853,0.0002645610040016469,0.0002528258313722063,0.0002564583071507773,1713.9421810541724
1790237040,0.0002564583071507773,0.00026715759059804374,0.00021367894222221642,0.00024908101924412486,14291.486717090705
1790237100,0.00024908101924412486,0.0002663749156822302,0.000244977390136182,0.0002535200353291615,3490.257773267747
1790237160,0.0002535200353291615,0.0002570889220329796,0.0002447236214314588,0.0002489704528959027,1721.0763217678002
1790237220,0.0002489704528959027,0.0002652412958020628,0.00024866873664253594,0.0002652412958020628,1275.1602847692438
1790237280,0.0002652412958020628,0.0002667655367711797,0.0002521896471778158,0.0002572504666759335,1685.2799093674232
