,Arsenal,Aston Villa,Bournemouth,Brentford,Brighton,Burnley,Chelsea,Crystal Palace,Everton,Fulham,Leeds,Liverpool,Man City,Man United,Newcastle,Nott'm Forest,Sunderland,Tottenham,West Ham,Wolves
2025-09-16,14643,4395,2692,3727,2587,2022,8730,4784,3129,1795,2435,10240,8435,14250,4484,3697,2659,10435,3037,2043
2025-09-17,10534,3607,2214,2755,2061,2133,12688,4393,2997,1747,2388,15546,7446,12044,4878,4897,2324,7309,2760,2283
2025-09-18,8359,2914,2028,1742,1774,1603,9447,2819,2901,1477,2386,12464,10283,11718,14668,5817,2401,5865,2796,2011
2025-09-19,7604,2766,2019,1658,1822,1537,8061,2762,3994,1554,2264,9418,8156,11253,5718,3614,2222,4958,2658,2132
2025-09-20,8133,3639,3356,5658,6310,3087,16135,8315,12171,5183,5989,17778,7672,19030,4108,4977,3132,7812,6220,5663
2025-09-21,15225,5801,7593,4719,3112,2250,10178,5185,4142,2913,4101,12228,15167,13566,5712,3962,8348,5864,4457,4142
2025-09-22,9153,3665,2550,2734,2428,1615,8002,3311,3002,2024,2768,10466,8326,10084,3268,3176,3585,4858,3775,2908
2025-09-23,7188,3920,1868,1966,4101,1946,9119,3666,3254,2141,2583,13973,6691,9333,3262,3073,2640,4473,3018,3168
2025-09-24,9464,3540,1815,1955,3615,1852,7545,4035,2980,1753,2483,12699,8299,9055,4288,7264,2336,5976,2945,2507
2025-09-25,7981,5480,1735,2120,2352,1522,6176,3085,2574,1661,2178,9258,7179,8631,3634,5028,2242,5178,2685,2048
2025-09-26,6496,3400,1853,2227,3057,1487,7286,2966,2273,1474,2236,8143,5333,7904,2973,3071,2329,5133,2462,2173
2025-09-27,7378,3186,3886,20157,5215,3672,8981,18662,2934,2036,4464,11228,7903,17194,3691,8671,9449,8302,11867,7252
2025-09-28,12856,6341,2851,5148,3771,2327,6677,11736,2865,4549,3014,7995,6528,12306,11088,4521,6370,5888,6584,3202
2025-09-29,9844,3229,2074,3011,2576,1793,7012,7168,7909,1864,2369,7723,5599,11932,4987,3944,4398,5081,12495,2259
2025-09-30,8320,2545,1879,2181,2118,1570,11202,5357,3502,1395,2299,11035,5761,10477,3823,3045,3384,6009,5718,1916
2025-10-01,10219,2442,1597,1665,1852,1435,8432,3822,2094,1305,2081,8904,7018,9710,6239,3263,2798,4816,3084,1661
2025-10-02,8211,4619,1818,1569,1618,1273,6590,7182,2294,1457,2060,7896,5766,9285,3979,6700,2890,4408,3700,1601
2025-10-03,7896,3470,8362,1996,1770,1408,6252,6288,2394,3756,2552,7640,4992,8940,3243,7252,3948,5045,4038,1932
2025-10-04,11801,3018,8672,2792,2427,1806,17031,5650,2951,2272,9863,13331,5931,15297,3677,4555,10277,9326,7649,2386
2025-10-05,9845,4214,4105,7867,2841,2766,10759,7012,6239,1885,3052,9346,8959,12314,6534,8148,4037,8208,4597,3462
2025-10-06,7727,3067,2951,2259,1828,1704,7497,3509,3768,1745,2255,7526,6415,9680,4289,4718,2573,5056,3239,2205
2025-10-07,7535,2500,2193,1673,1722,1440,6499,2950,2989,1911,2281,6495,5058,8473,3437,3427,2211,4546,2781,1864
2025-10-08,6647,2257,2048,1633,1579,1493,6033,2608,2815,1403,2338,6596,4607,8646,3033,2553,1951,3835,2483,1694
2025-10-09,6638,2482,2172,1717,1741,1371,5909,2544,2368,1385,2349,6228,4987,9120,3073,2671,1876,4441,2520,1533
2025-10-10,6170,2151,1747,1411,1375,1336,5471,2486,2140,1200,1891,5342,4350,7542,2582,2280,1990,3883,2198,1667
2025-10-11,5742,2080,2036,1520,1440,1340,5401,2491,2448,1319,1978,5597,4614,7001,2624,2385,1805,3846,2161,1780
2025-10-12,5789,2241,1930,1625,1545,1273,5058,2718,2399,1533,1869,5481,4630,7041,2481,2911,1708,5463,2373,1721
2025-10-13,5649,1996,1695,1424,1509,1222,4942,2435,2292,1378,2045,5434,4386,7022,2612,2391,1858,3703,2369,1509
2025-10-14,5853,2257,1506,1468,1625,1390,4885,2403,2558,1329,1823,5253,4343,7162,2811,2281,1816,3543,2448,1489
2025-10-15,5418,1954,1398,1286,1458,1345,4899,2308,2496,1289,1735,5299,4027,6307,2508,2175,1764,3673,2349,1448
2025-10-16,5371,2441,1379,1034,1382,1384,4587,2504,2687,1312,1633,5444,3854,6541,2469,2180,1604,3541,2314,1403
2025-10-17,5321,4113,1561,1188,1465,1292,5136,2517,2637,1541,1908,5776,4104,6564,2485,2834,1982,3656,2590,1597
2025-10-18,9791,3219,6197,1690,3884,2745,10746,4686,4158,6646,3652,6410,7550,7721,3689,28657,4507,6474,4852,3184
2025-10-19,9452,6526,4208,2545,2821,2359,7458,3614,3288,3168,2740,16527,6832,21562,3402,15540,3848,9463,4512,2991
2025-10-20,8402,3610,3383,7294,2794,2378,7120,2879,3810,1933,2419,11808,6317,15983,3290,11121,3237,5195,13134,2710
2025-10-21,13529,3194,3075,3483,2303,2725,6722,3122,4384,1728,2397,9047,7799,13969,5601,12773,2676,4796,7981,2401
2025-10-22,11986,2704,1969,1844,1949,1971,10078,2767,2988,1470,2178,11098,6530,9956,4594,8248,2356,5300,3454,1751
2025-10-23,8245,3921,1889,1847,1914,1929,8744,3700,2943,1478,2166,9233,5349,8575,3245,13411,2264,4359,3115,1928
2025-10-24,8202,3097,2127,2072,2174,1834,6866,3030,3383,1435,6759,6817,5423,9048,3427,8749,2623,3773,9532,1985
2025-10-25,8784,2906,2913,15889,9569,1842,10532,3140,3279,2780,4268,12168,6793,20222,5250,5039,23096,4254,6903,2913
2025-10-26,15131,6067,9019,8305,4098,3807,7353,6318,7475,1966,3054,10912,9180,18586,3723,6292,15759,8510,4205,5933
2025-10-27,11850,4147,6835,4228,2781,2654,6600,3408,3339,1746,2533,7957,5998,12704,3134,4518,7435,5870,3634,4801
2025-10-28,8962,3093,4829,3984,2488,1800,6301,2588,2439,2299,2262,7195,5489,10568,2960,4650,5140,4541,3166,2878
2025-10-29,11496,2653,3598,3171,3473,1798,7690,5281,2452,1871,2057,12876,6212,9931,5166,3434,3617,5928,2952,3793
2025-10-30,10650,2407,3089,1988,2337,1649,7476,5327,2240,1565,2062,14726,5824,10004,4392,3087,3126,4362,2562,2811
2025-10-31,7938,2374,2955,1647,1774,1786,6145,2791,2177,1374,1791,7762,4595,8787,3203,3304,3094,4254,2624,2043
