,Arsenal,Aston Villa,Bournemouth,Brentford,Brighton,Burnley,Chelsea,Crystal Palace,Everton,Fulham,Leeds,Liverpool,Man City,Man United,Newcastle,Nott'm Forest,Sunderland,Tottenham,West Ham,Wolves
2026-02-15,10532,4038,1736,2267,2844,1820,6139,2251,2355,2012,4475,6843,6083,8740,3157,5935,2618,7922,3153,3905
2026-02-16,8878,3038,1602,4217,2063,1469,5856,2245,2253,1573,2624,5782,5794,8592,2814,4408,2032,7702,2918,2780
2026-02-17,8039,2702,1485,2518,1684,1384,6606,2121,2286,1360,2237,6100,5612,8358,3009,4372,1921,7114,2824,2607
2026-02-18,10679,2790,1448,1557,1454,1215,5987,1942,2284,1273,2172,5706,6175,8033,6985,4075,1776,6391,2451,8994
2026-02-19,12359,3248,1455,1643,1604,1219,6260,3168,2305,1310,2216,6347,7829,8751,4669,12378,1781,7803,2640,7430
2026-02-20,7748,2899,1569,2144,1584,1379,5744,2783,2184,1287,2589,5712,5870,7860,2880,6517,1604,6987,2466,2932
2026-02-21,8287,4514,3871,2483,3319,3419,8322,2665,2517,1522,4709,6135,10427,8443,4635,4784,1947,7480,5223,2704
2026-02-22,17641,3908,2108,2537,2671,2165,6791,3814,3058,2516,3349,8170,9584,9328,3286,12162,3406,22188,3856,4260
2026-02-23,12203,3315,1755,2011,1954,1481,6098,2762,11059,1840,2997,6343,6789,16457,2798,4604,2280,17546,3320,2771
2026-02-24,8661,3408,1648,1838,1638,1438,6168,2303,4665,1591,2435,6082,6945,16393,5365,3202,1870,11489,2963,2376
2026-02-25,7772,2710,1556,1311,1484,1008,5911,2065,2558,1446,2207,5922,6539,10155,4365,2924,1644,7332,2402,1895
2026-02-26,7581,2992,1482,1546,1486,1012,5989,3397,2241,1420,2166,5638,6187,9724,3156,7617,1527,6142,2552,1997
2026-02-27,9046,5608,1619,1554,1454,1178,6717,3788,2252,1321,2199,6813,7185,9432,4266,4783,1617,6224,2698,7445
2026-02-28,7716,4219,4401,2897,1557,3240,5864,2606,3928,1479,5983,7654,9083,8870,4125,3151,3613,5360,5646,5636
2026-03-01,14991,3347,2028,2707,2889,2597,13811,7217,3694,3616,3127,6900,8262,17923,3510,4377,2046,10613,3924,3188
2026-03-02,9631,2781,2271,1919,1934,1574,6917,2767,2739,1870,2378,5680,6094,12780,2975,2912,1802,8132,2827,2373
2026-03-03,7263,2659,2684,2380,1922,1948,5778,2018,3866,1690,3235,7054,5482,9909,2980,2590,3327,6164,3185,9330
2026-03-04,10797,4293,1961,2012,4367,1557,8095,2145,3363,2192,2478,6984,7744,13413,6874,4666,2723,6447,3715,7956
2026-03-05,11850,3407,1713,1871,3032,1528,7821,6104,2925,1501,2541,5774,6730,9552,5938,4733,2285,25175,3865,3350
2026-03-06,9354,2906,1648,1970,1968,1440,6414,3920,2832,1601,2504,8001,5482,7929,3739,4126,2258,27060,3693,6761
2026-03-07,12016,2455,1727,1788,1827,1282,11046,2413,2501,1620,2391,6379,6931,7463,4186,3357,2455,10674,2706,2804
2026-03-08,8078,2337,1732,1821,1697,1446,6987,2318,2348,3103,4909,5205,5984,7032,3240,2531,3956,8438,2708,2128
2026-03-09,9332,2292,1578,4798,1658,1220,6514,1967,2198,1785,2866,5932,5424,6833,3066,2370,2053,7854,7019,1937
2026-03-10,9007,2528,1610,2253,1428,1496,7527,2084,2228,1330,2502,9542,6036,7211,11224,2575,2017,21538,4038,1793
2026-03-11,11842,2514,1459,1636,1425,1470,9620,2403,2247,1265,2157,6563,10149,7363,5144,3138,1733,28890,2914,1863
2026-03-12,7206,3758,1311,1303,1361,1223,7509,2723,2062,1162,1924,5140,6684,6828,3330,5094,1545,11272,2690,1582
2026-03-13,6470,3019,1615,1344,1442,1187,5560,2074,2257,1186,1959,4819,4793,6574,3016,3397,1719,8341,2556,1620
2026-03-14,14890,2626,2158,1699,2703,2077,7346,2072,5096,1388,2167,5017,7556,7022,4128,2937,4182,8167,6383,1848
2026-03-15,17403,6407,2077,2023,1881,1511,6841,3169,3575,2036,3040,10128,7126,16104,3500,4851,2103,16614,4491,2295
2026-03-16,11946,3155,12740,5770,1481,1308,7535,1972,3167,1520,2078,7150,5932,12093,2998,2838,1719,7426,2961,4692
2026-03-17,14527,2408,9210,2455,1332,1229,10600,1837,2491,1360,1934,6258,10407,9420,3121,2218,1832,5632,2560,2645
2026-03-18,13561,2525,3948,1565,1328,1141,10529,1965,2290,1423,1973,11404,8700,8895,9880,2321,1970,8517,2447,1722
2026-03-19,10666,4167,2413,1486,1299,1127,6832,3506,2044,1461,2005,9188,6147,8521,4600,5601,1876,6435,2296,1693
2026-03-20,9585,3705,8758,1738,2162,1155,5956,2895,2273,1414,2072,6229,5491,10806,3130,3954,1984,4922,2483,1550
2026-03-21,10139,2953,3516,3709,7964,2622,10259,2179,8624,3243,4159,8517,5816,8303,2877,2693,2244,5027,2892,1744
2026-03-22,27228,5046,2525,2145,3054,1839,10988,2720,6170,2019,2873,7893,25574,9905,8153,8919,12098,17839,5762,2336
2026-03-23,14411,3474,2043,1798,1997,1472,7298,2189,3479,1587,2349,6323,14833,8538,4170,4087,5234,12294,3712,1964
2026-03-24,9150,3111,1597,1612,1917,1195,6631,2114,2769,1435,2104,9324,8036,7986,3279,2874,3323,8914,2865,1634
2026-03-25,7179,2639,1985,1265,1711,1064,5580,1824,2436,1376,2146,9986,6370,7520,2576,2085,2446,7145,2339,1422
2026-03-26,6666,2262,1277,1736,1980,1211,5585,1792,2729,1404,2851,6979,6132,7195,2542,2047,2124,5962,2810,1611
2026-03-27,6152,2408,1234,1593,1890,1052,4798,2340,2483,1441,2649,6398,5352,6696,2446,2079,1977,5507,2423,1483
2026-03-28,5342,2196,1319,1399,1413,1022,4158,1806,2163,1283,1957,5796,4844,6186,2035,2126,1634,4878,2002,1374
2026-03-29,5464,2121,1160,1373,1771,1077,4380,1877,2279,1315,1953,5413,4658,5984,2036,2834,1722,14180,2388,1587
2026-03-30,5427,2054,1209,1246,3469,956,4479,1972,2353,1196,1766,5321,4636,6043,2246,2705,1687,12262,2274,1517
2026-03-31,5861,2228,1203,1305,4856,1088,4952,1802,2436,1542,1800,4917,4804,6223,3033,2096,1705,14018,2521,1497
2026-04-01,5598,1867,1325,1558,2749,1082,5162,1532,1935,1664,1676,4687,4407,5872,2152,1895,1477,8775,2275,1367
2026-04-02,5206,1815,1330,1199,1992,958,4887,1570,1938,1281,1648,5350,4096,5718,1876,1678,1451,6645,2020,1317
2026-04-03,5359,2031,1165,1271,1802,906,5376,1732,1956,1410,1801,5296,4474,5919,1989,1600,1669,5721,2218,1394
2026-04-04,10935,2246,1357,1357,1904,1256,8819,2289,2249,1519,2455,8929,11224,6938,2561,1816,1948,6033,2816,1632
2026-04-05,8867,2237,1303,1299,1715,1209,6445,2320,2267,1395,11791,6205,8109,6637,2165,1978,1696,5420,14975,1656
2026-04-06,6924,2185,1202,1283,1608,1208,5410,2073,2238,1311,4402,5767,7228,6617,2022,1793,1683,4915,4157,1524
2026-04-07,10420,2057,1214,1192,1501,1604,5057,2110,1882,1231,2460,6337,5669,6872,2122,1931,1601,4920,2770,1452
2026-04-08,8565,2305,1179,1310,1383,1656,5115,2288,1912,1208,2067,9784,5352,6734,1947,2031,1582,5082,2566,1516
2026-04-09,7063,4306,1119,1302,1473,1274,4803,3808,2003,1154,2059,8580,4904,6193,1806,4378,1365,4579,2417,1563
2026-04-10,6473,3589,1484,1399,1675,1402,4790,3296,2164,1374,2075,6967,4849,6414,1987,3200,1790,7435,6961,3680
2026-04-11,12539,2902,8773,4253,2767,2199,6414,2596,3723,3282,2337,9566,6332,7188,2204,2511,2050,11037,5246,2513
2026-04-12,10685,3711,3753,2600,2979,1844,11304,3997,3077,1785,2610,7519,13512,8125,3422,4245,6900,24222,3757,2540
2026-04-13,9766,3071,2563,1996,2164,1695,6909,2733,2630,1548,10956,6697,9034,11620,2731,2954,2963,17424,3444,2333
2026-04-14,8671,2667,5003,1829,1905,1301,5738,2197,2655,1666,6347,11061,7022,8149,2519,2540,2061,11043,2776,1831
2026-04-15,14292,2746,3330,1492,1635,2109,6078,2508,2265,1629,3064,9511,6825,7130,2321,2661,1783,8171,3286,1635
2026-04-16,13512,6101,2227,1482,1599,2073,5988,4843,2371,1536,2492,8303,8111,7054,2732,8649,1703,7568,3034,1752
2026-04-17,9195,6298,2534,1649,1804,1630,9511,4749,2676,1464,2599,6287,6851,7171,2514,6074,1718,6911,2824,1914
2026-04-18,9064,3900,5514,4965,8083,2133,12775,3275,4074,3002,5245,6204,7332,12026,4082,3779,2318,20377,3741,4858
2026-04-19,25871,6432,3661,2910,3267,3727,10272,3798,12436,1934,3930,13278,25595,13706,3279,6315,3645,15788,4444,3854
2026-04-20,16687,4420,3553,2226,2274,2744,7679,7655,5795,1745,3170,8709,16571,9859,2865,4285,2459,12169,8458,6759
2026-04-21,10763,4112,3259,2182,8224,2674,15593,3625,5107,1872,3310,7453,10963,9101,2757,3524,2377,10171,6437,9121
2026-04-22,11305,3993,6024,2201,6781,8948,32128,4553,3902,2065,4862,7303,14505,10120,3063,3781,2898,10793,4537,4638
2026-04-23,11047,3458,3802,1841,3759,5086,19881,2997,3188,1935,3675,6503,11854,8990,2573,3214,2446,9013,3668,3222
2026-04-24,8298,2940,2493,1584,2794,2537,10837,2634,2813,1706,3097,5679,8798,8056,2618,8032,4384,7728,3624,3112
2026-04-25,12484,4664,2548,2225,2879,2419,9563,4620,3713,4075,3672,9043,13458,8815,4792,6113,2748,14636,7403,5966
2026-04-26,9347,3220,2344,2095,2503,2034,17343,3226,2942,2043,9425,7968,11354,8450,3093,3440,2359,8805,4409,2894
2026-04-27,8395,3312,2207,7211,2344,1923,10495,2715,3074,1826,3065,6907,8597,14585,2763,3023,1868,8646,3571,2327
2026-04-28,9192,3160,2021,3051,2683,1930,7821,3044,2897,1674,2314,6594,8853,13346,2781,2809,1756,7570,2953,2368
2026-04-29,19246,3196,1708,1899,2114,1805,7374,3234,2463,1722,2154,6250,9311,9731,2517,2954,1801,6922,2737,2144
2026-04-30,9728,6879,2095,1527,1876,7883,6942,6247,2189,1723,2025,5416,6354,8388,2343,12031,1477,6388,2865,2101
2026-05-01,7230,3631,2004,1583,1945,8311,6760,5194,2372,1741,5421,5386,5917,7881,2585,6305,1627,6183,2842,2064
2026-05-02,14793,3258,2447,5720,3160,5940,6763,3636,3008,5161,4199,6081,7332,8569,3836,3839,2925,7696,5755,3249
2026-05-03,11368,7666,6649,3572,2633,3510,7708,4740,3336,2334,3060,12992,8036,24478,3195,3838,2447,13984,6379,3213
2026-05-04,12756,4265,4346,2818,2694,2573,18226,3651,11514,1845,2652,8724,13029,17381,2584,11327,2241,9212,7488,2924
2026-05-05,44534,3410,3142,2434,2398,2207,11055,3297,6572,1671,2464,7440,10546,12967,2556,6006,1966,6834,5551,2497
2026-05-06,37716,3568,2379,1982,2144,2625,9431,3259,2948,1695,2246,7590,8789,11640,2375,4711,1807,6332,4069,2109
2026-05-07,21651,19835,2223,1893,2131,1839,8144,9047,2626,1659,2223,6625,7077,10215,2363,11304,1823,5603,3974,2082
2026-05-08,13613,17181,4626,2116,2240,1610,7265,9912,2468,1738,2100,5936,6339,9434,2287,4380,2169,5227,3941,2052
2026-05-09,12662,6059,5983,6749,3341,1870,10760,4417,2786,2719,2383,8906,10241,11747,2441,2744,6173,5195,4956,3035
2026-05-10,24335,5964,4403,2483,2867,4678,7471,5532,4152,1816,3237,7166,9381,9864,3560,5517,2491,6819,21182,2813
2026-05-11,18268,4805,3814,2009,3554,2797,7266,4309,3134,1641,7545,6949,8419,9756,2729,3606,2168,13175,11841,2591
2026-05-12,12596,3819,2733,1709,2324,2037,7375,3680,2937,1619,3677,6157,6980,9150,2461,2698,2143,7663,6920,2275
2026-05-13,12472,3691,2673,1671,2072,2036,6812,6561,2475,1682,2588,6183,10558,10164,2476,2578,1971,5669,4573,2145
2026-05-14,11326,3939,2723,1672,1889,2286,6974,3756,2574,1507,2759,6067,8957,10017,2275,2445,1895,4990,3787,1997
2026-05-15,10566,10291,3042,1949,2144,2110,7303,3201,4051,1453,2689,8643,7734,9925,2273,2679,1920,4594,3639,2001
2026-05-16,11979,9208,3761,1937,2515,2028,22647,4268,3584,1710,2541,9702,34067,12491,2773,3003,2228,5800,3750,2295
2026-05-17,11441,5607,3891,3493,3905,2557,21049,4417,5076,2277,4971,7854,15364,19537,6394,6199,4277,6781,15938,3483
2026-05-18,22171,5669,5564,2313,2665,12095,15166,4321,3737,1967,3372,8119,14313,14811,3819,3270,2984,7063,10952,2965
2026-05-19,97929,8113,33121,3076,3137,3868,22493,5282,4458,2025,3788,13113,31190,17422,3481,3776,3187,14059,8976,3247
2026-05-20,135152,85959,14362,3116,3586,2906,20811,6336,5696,2420,4533,17516,23887,23075,4335,4509,3557,16736,9391,3917
2026-05-21,50085,67861,7372,2674,3379,2439,13600,6318,4303,2220,6038,11939,12986,15038,3777,3529,2741,10257,6370,2959
2026-05-22,31506,15786,4823,3449,2501,2423,11567,4472,3750,1780,3003,11005,18835,15339,3627,3132,2356,8022,4847,2858
2026-05-23,26590,9592,4073,2605,2466,2789,9499,4169,3542,2071,3406,10544,14019,13166,3139,3340,3093,8343,5483,2948
2026-05-24,48298,12472,9445,6035,7420,4597,15465,11542,8861,3578,5451,16624,22814,20699,4970,5543,16387,31113,46583,6053
2026-05-25,43476,9590,8595,3695,5979,4353,13503,6972,5356,2976,4017,15190,21809,18239,4480,5859,12753,19034,35563,5373
2026-05-26,30200,7523,6272,2818,3678,2929,11620,7055,3906,2670,3635,11341,17860,14135,3654,4397,7194,10956,16246,3680
2026-05-27,27171,8059,5968,2586,4020,2551,11098,74025,3935,2890,3612,9963,12574,12739,5795,4083,6059,9978,13559,3522
2026-05-28,24030,7540,4988,2253,3634,2249,9988,54831,3692,2525,3172,9143,11216,11814,6231,3580,4428,8272,8580,2816
2026-05-29,23896,5649,3628,2008,2632,1928,8727,11591,3209,1995,2721,9617,10189,11264,5633,3049,3382,7529,5797,2824
2026-05-30,140470,8388,18511,2794,3101,1977,19236,9017,4031,2717,3123,29207,15972,17652,6010,5716,3364,10928,6462,3422
2026-05-31,62120,7273,8823,2244,2972,1772,16220,6417,3390,2609,3553,19034,13547,16522,3818,6236,2988,10653,5980,3177
2026-06-01,31294,5529,6698,2119,3568,1714,12026,5209,3040,2354,3116,15483,10664,12871,4049,3803,3024,7886,5093,2518
2026-06-02,19690,4924,9364,1928,3407,1684,10343,5459,3024,4467,2959,15554,9626,11968,3895,3183,2705,6507,4572,2424
2026-06-03,14731,4254,6700,1788,2817,2089,8701,4616,3023,3252,2544,17923,8432,12920,3169,2978,2806,5677,4365,2304
2026-06-04,13217,3696,8427,1648,2797,1655,8614,4101,2593,2319,3156,18131,8751,11048,2851,2691,2286,5742,3848,2259
2026-06-05,12394,3617,7717,1622,2245,1530,8196,3911,2630,2418,2712,14966,8177,10396,2838,2595,2406,8127,3873,2605
2026-06-06,11097,3461,4351,1901,2499,1634,7284,3708,2523,2885,2706,10099,7288,9449,2814,2788,2369,6593,8152,2567
2026-06-07,9787,3299,3336,1886,2858,1532,7031,3460,2546,2529,2572,8626,6923,9343,2567,2502,2139,5886,4640,2257
2026-06-08,9719,3325,3042,1813,2551,1454,6935,3487,2561,2603,2434,8647,6764,9376,2806,2652,2305,5899,6042,2797
2026-06-09,9115,3141,2668,1441,2149,1455,6879,3812,2685,2528,2325,7777,6784,8743,2657,2252,2334,5475,5746,5894
2026-06-10,9048,3540,2824,1623,2217,1732,7278,3733,2806,3468,2676,7826,7278,10127,3732,2864,2286,7569,4305,9424
2026-06-11,8877,3477,2851,1415,1839,3910,7183,3462,2493,4858,2547,7063,7377,9590,3691,2846,2236,7889,4532,18178
2026-06-12,9008,3280,3173,1780,2467,1873,7310,3638,2583,5202,5279,7114,7655,9542,2915,2603,2250,9391,4422,13618
2026-06-13,14281,3447,5284,3939,3333,1629,11680,8205,3504,9055,5008,7405,7993,10985,3723,3489,5463,8643,5929,4580
2026-06-14,12447,5452,3765,2936,5679,1750,10097,5762,3776,3640,3984,9609,8065,11441,3176,3663,5278,7667,6580,5025
2026-06-15,11818,4503,2546,1879,11315,3327,12206,5493,3334,3169,3374,10678,10020,12285,3219,3373,2898,7075,4950,3930
2026-06-16,10785,3710,2996,2028,4083,1901,10418,5925,3346,3054,3433,8407,11688,11780,3587,6491,2314,8078,4014,3382
2026-06-17,12469,5978,2619,2992,3159,2186,11205,5195,5486,2945,3484,8853,15730,16668,5264,3651,3339,13008,5526,3818
2026-06-18,10497,4336,2414,1998,2748,1816,9044,5785,3836,2839,3285,11083,11524,12434,3702,3161,4175,10186,4168,3391
2026-06-19,10846,4565,4204,1946,2856,1517,10800,6585,3765,7657,5127,10209,10589,12265,3206,3351,3167,13245,4765,5493
2026-06-20,11721,4378,4293,2085,8412,1659,10692,5187,3708,4381,4024,10841,10164,14050,5790,3361,10071,11001,6470,4999
2026-06-21,10783,4353,2644,1822,5632,3103,9395,5368,4134,3225,4222,8902,10714,12506,3702,2861,4124,9117,4628,2762
2026-06-22,10744,5829,2691,1743,3387,1937,9355,4061,3878,2897,3305,12335,11113,14289,2994,3831,2496,8368,4336,2588
2026-06-23,12629,5155,2958,2018,2685,1627,10423,6032,4681,3640,3787,9190,20071,15741,3578,3583,2824,8935,4163,3417
2026-06-24,9546,3991,3705,1734,2448,2124,9294,7582,4073,3385,4593,8189,11506,12872,3234,2942,4152,8580,4113,3014
2026-06-25,9875,3590,2757,1519,2861,2047,8691,4013,3226,3315,3397,7971,10300,11560,3252,2819,6015,8111,4795,3858
2026-06-26,10165,3659,2877,1539,2897,1786,10831,7151,3103,5036,5225,7848,13950,11855,4317,4064,4497,8372,3615,2758
2026-06-27,9607,4443,2429,2354,2718,1564,10469,4388,3691,2900,5406,8369,11829,11698,3132,3788,3375,7644,3333,2666
2026-06-28,8980,4314,2374,2148,2915,2008,9017,4393,3926,3088,6372,7506,10508,11972,3703,2747,3272,7957,3505,3238
2026-06-29,10817,3758,3813,1684,4540,1589,14006,4346,3853,3229,5856,8738,15237,11932,4937,2680,3059,7194,4146,2751
2026-06-30,13752,5101,3529,2174,8087,1877,12309,6199,4082,6633,5884,12990,17701,16060,4364,3140,5249,11616,7706,3292
2026-07-01,16060,6491,3292,2763,5390,2870,16081,9608,5868,7392,4668,13922,17329,16588,6503,7442,6864,22747,8235,15042
2026-07-02,15195,5805,6237,2287,4667,2097,16990,8982,6378,11558,5337,11800,16651,15635,5620,6544,3646,28382,5951,5249
2026-07-03,12007,6242,3301,1860,4173,2063,12049,5924,4595,4495,3607,16712,16201,17096,4193,5411,3946,16875,4583,5072
2026-07-04,11965,6530,2998,1833,4176,1723,11026,7225,4311,5183,5727,11174,14265,15241,4317,4023,3243,11330,4306,4040
2026-07-05,15381,5827,4146,2953,3220,1894,11984,5501,4669,5640,6040,11443,32027,16123,5800,4038,3031,11162,4612,5038
2026-07-06,25923,9034,4540,7382,4578,2460,19409,8485,13762,12744,8540,16408,55950,28829,10176,7654,5282,30250,8610,28481
2026-07-07,21556,9765,6291,4479,5160,3133,22797,10918,9522,20525,7836,20999,39286,26341,6737,6093,7849,19831,6087,6719
2026-07-08,15725,6430,3562,3230,3825,2542,18399,6669,5752,9817,6538,15524,28273,20971,6264,4574,4389,13958,5168,4703
2026-07-09,17522,6678,3496,2918,3535,2681,17700,9293,5309,6451,7722,13324,26765,21682,8070,4247,4486,12509,5069,4451
2026-07-10,17213,6779,3382,2746,3912,3930,16025,7189,5245,4693,5937,12872,29395,27588,5978,4006,3632,11728,4708,4120
2026-07-11,19456,6979,3519,4394,3591,4019,16566,7840,9612,5943,6715,12549,45107,23315,6398,4747,4334,15272,4926,5784
2026-07-12,18833,10075,3591,3447,5005,3613,15976,6760,6887,4509,5707,15577,38504,22642,5843,6255,9433,14847,5246,4483
2026-07-13,14337,12183,3736,2892,3874,2833,15489,6085,5393,4146,4476,12929,23448,29831,5841,4254,4187,11866,5013,3706
2026-07-14,16322,10774,3853,2724,5842,2479,15552,7636,4936,4027,6859,12671,21925,36739,5080,4321,3898,14184,4784,3291
2026-07-15,17208,11211,3876,3346,5288,2523,18758,6706,11709,3807,5670,13295,23630,28375,6954,5211,4854,17358,5422,3146
2026-07-16,15776,9540,3404,2897,5261,3792,18527,5518,6556,3753,4470,13694,18374,21185,5309,4746,3999,13873,5035,3767
2026-07-17,13661,8957,3200,2801,4597,3440,14288,6137,5259,3918,5514,12296,15450,17919,4520,4488,3613,11392,6311,3296
2026-07-18,18592,11165,3266,3745,4533,2483,19036,10412,6000,3855,5134,11873,17261,20965,4875,4651,3700,12825,6105,3179
2026-07-19,22671,25165,3652,3155,6464,2244,25575,9142,5603,3794,4274,14208,24911,23053,5164,4447,3794,14840,6252,3578
2026-07-20,20309,16602,3759,2987,6060,2251,28980,7764,6032,4448,4362,18145,32750,24848,8825,4301,3907,14681,5745,4253
2026-07-21,15216,11736,4039,2748,4878,2205,23713,6171,5047,4163,4368,15053,21203,18791,7986,4107,3761,12437,6231,3470
2026-07-22,14017,11569,3886,2776,4613,2094,24917,5360,4682,4215,4354,13916,17804,17319,5947,4354,3565,13665,6279,4757
2026-07-23,17064,11697,3683,2654,4439,2103,18247,5523,4476,4245,4776,12485,17530,16835,6796,4765,3666,13008,5373,4171
2026-07-24,13585,8302,4124,2431,3930,2033,18596,5958,4298,3360,4349,12963,16216,18362,7043,4076,3460,10601,5034,3132
2026-07-25,12543,6932,3333,2192,3561,1832,13975,5179,4436,3508,4327,12726,13578,14828,5180,3557,4451,9439,4901,2915
2026-07-26,12368,6325,3486,2227,3381,2897,12955,4622,5759,3683,5587,14381,11852,13884,4625,3662,4405,11137,5571,2928
2026-07-27,11625,6063,3437,2502,4224,2063,15701,4659,4151,3830,4963,11668,12116,14211,4533,3541,3562,9250,4640,3767
2026-07-28,10742,6130,3427,2603,3908,2273,19390,4419,4134,4009,4746,10632,12256,13133,4313,3516,3404,8245,4209,3681
2026-07-29,9990,5793,3309,2954,4558,2296,17266,4550,4049,4042,3843,11602,11169,12107,4376,3702,3586,9526,3759,3495
2026-07-30,9938,5595,4818,2656,3818,2100,18884,5484,3790,5996,4213,13005,10697,13283,17927,3885,4027,8642,4108,3308
2026-07-31,9693,5158,3860,2335,3248,3120,16525,4289,3402,4220,4256,10209,9835,12097,10797,3705,3422,7258,4110,2824
2026-08-01,13171,5787,4231,2651,3827,3254,17841,4106,3912,3243,3778,9116,11346,13704,7804,3044,2846,9887,4577,2743
2026-08-02,11966,5735,5659,2855,3845,2969,17384,3843,3849,3253,5869,10997,9580,12260,7283,3200,5361,8094,4421,2864
2026-08-03,10937,5549,3660,2729,3931,2344,22648,3552,3882,5445,4952,10528,8952,12391,9757,2957,3221,7537,4311,2628
2026-08-04,10751,6434,4157,2660,3487,2351,18497,3995,3658,7898,3566,9247,9129,11749,7456,3302,3368,6778,4964,2687
2026-08-05,15185,5748,3835,2348,3787,2482,16971,4700,4181,4617,3322,11290,10123,13583,12783,3173,3227,7424,4495,2670
2026-08-06,13573,5154,3617,2353,3839,2584,12637,4318,5428,3983,5347,9758,10325,12837,11108,3293,2865,7097,5498,2893
2026-08-07,11062,6300,3250,2537,3423,2659,12984,5069,4367,4054,5295,9805,11142,13359,8230,3249,3041,7122,5519,5125
2026-08-08,17609,5319,3371,2431,3835,3388,13705,4602,4261,3745,4535,13263,9995,14078,10509,4298,2999,7226,8446,4841
2026-08-09,14560,5418,3213,2655,3472,2236,16022,5054,3996,3576,3944,12286,11234,16786,8696,3750,2941,6512,6055,3188
2026-08-10,11449,6299,3309,2476,3176,2186,13820,6031,5266,3616,4024,16333,10326,16141,7103,4075,3512,7393,6432,2883
2026-08-11,11005,7121,3239,2573,3247,2212,15686,7277,6954,4138,3959,14439,10086,13198,6491,5244,3358,7524,5882,2829
2026-08-12,11631,23535,3232,2459,3176,2178,20350,5677,5877,3346,7395,10327,14188,18651,6794,5027,3332,8406,4623,3017
2026-08-13,10373,13984,3080,2213,3321,1975,16851,4830,4529,4291,4859,9042,13544,15860,5670,3911,3155,8625,4201,3022
2026-08-14,10249,7226,3075,2224,3396,4232,16223,4732,4089,3621,3886,12094,11742,13434,4764,3522,3398,7941,5275,10493
2026-08-15,9523,5932,3142,2901,3621,4321,19144,5788,3995,3647,3921,11398,10817,17018,6094,4137,3232,10350,5721,6244
2026-08-16,29133,6720,3746,2929,3775,8578,19577,6197,4326,3542,4394,13949,28638,15743,6801,4716,3379,9885,10147,3262
2026-08-17,18662,6448,3694,2883,4010,3345,17943,5198,4233,3636,5125,12634,17783,13136,6182,4428,3626,11105,5645,2733
2026-08-18,13296,6655,3798,2971,5355,2588,16138,5345,4279,3956,4456,12140,15720,12788,8146,4809,3656,9534,4913,2626
2026-08-19,16591,16671,4173,3465,7715,2648,18251,6624,4343,4049,6119,12708,17933,16571,6458,4622,3759,10370,5769,2507
2026-08-20,14600,11195,4471,3543,8018,2664,17208,6463,4675,4088,5346,12636,16922,15636,6519,4557,3985,11917,4841,3057
2026-08-21,29975,12461,5981,4528,7434,2650,16311,7537,5747,4741,5838,14846,18678,17964,7319,5464,5195,19145,5657,3071
2026-08-22,19140,9806,5923,24804,6303,2721,14902,11048,11073,4989,8419,13453,15100,31173,7496,8967,7080,26374,8033,4181
2026-08-23,12857,15465,14831,9749,12611,4114,14222,5822,6384,4857,5325,24463,25416,14819,32121,4846,4405,12669,5771,3592
2026-08-24,11682,8991,4282,5790,6896,2074,27692,4619,4506,22987,6652,12740,16546,12224,10311,3752,3446,9185,4714,2896
2026-08-25,11016,7613,4098,5295,6349,1968,22635,4498,4106,8113,9277,10053,15908,17332,6675,7546,3169,13995,6239,3310
2026-08-26,10137,7834,3676,5126,5502,2853,17040,5664,5809,3735,5097,9498,18262,14159,8788,5084,3298,13009,5108,2700
2026-08-27,12204,15359,3571,3349,6049,1951,21640,5553,4656,4346,4624,13625,17216,12771,7456,6178,3515,14247,3952,3011
2026-08-28,11390,16226,4442,4094,6209,1821,21488,15509,3878,4044,3762,11550,18714,11548,5114,4911,5919,9740,4419,2479
2026-08-29,10311,11290,8505,3605,4724,3063,15706,8033,6776,3109,3971,20465,15646,10836,17528,14324,3554,18375,5326,4410
2026-08-30,14696,14490,4153,6343,14141,2633,35762,5333,6754,4648,6336,12653,13117,20861,10487,5734,5283,14021,4867,3778
2026-08-31,19003,23029,3122,3350,6314,2119,21616,5196,7572,3240,4067,19900,15172,14545,8169,5996,3552,11438,4955,3030
2026-09-01,23027,14911,3013,3348,5050,3070,32293,6821,15742,4616,5162,21713,28130,14242,10295,5476,5310,17592,7853,6806
2026-09-02,20800,11377,3720,3813,6382,7001,32817,10702,21648,5495,6684,16145,46671,16535,8965,5021,7473,19595,7039,3999
2026-09-03,15466,7071,2731,2601,4190,3089,17336,5403,8895,3227,4178,11730,21202,11909,5821,3589,4372,10642,4339,2698
2026-09-04,12226,6052,3112,2572,3899,2145,14656,4396,6806,2898,3551,16171,14075,10526,5253,3343,3288,8599,3742,2274
2026-09-05,9949,9680,8350,3718,4840,3662,12456,6787,6172,4846,4249,11022,15541,9196,11464,5703,3960,10320,5263,2601
2026-09-06,19775,6193,2984,2914,3906,7306,22404,5792,21600,4493,3366,9381,12632,14397,4765,3213,3184,7863,4493,4496
2026-09-07,13144,4875,2255,2265,2710,5597,11898,3604,6653,3293,2875,8125,9524,8968,3748,2805,2663,5838,3694,2388
2026-09-08,10832,9319,2581,1928,2455,4868,9597,3893,4265,2595,2555,9232,11985,8915,4639,2605,2961,5322,4754,2270
2026-09-09,11457,5251,2391,1530,2290,2831,11508,3211,3372,2039,4780,13478,10587,8558,3312,2351,2548,4841,4124,2028
